article_id,detail_desc,hn_article_id,hn_detail_desc,category_name,positive_cat_value,hnegative_cat_value,enhanced_query
607375001,Hat in a cotton and linen blend with a grosgrain band. Width of brim 3 cm.,831861001.0,"5-pocket jeans in washed denim with worn details, a regular waist, zip fly and button and slim legs. Made using Lycra® Lastingfit technology to retain the shape of the jeans for a consistent fit.",department_name,Accessories,Denim trousers,Hat in a cotton and linen blend with a grosgrain band. Width of brim 3 cm.. It has to be Accessories and not Denim trousers.
607563005,Metal and fabric earrings with tassels. Length 7.5 cm.,567992021.0,Short-sleeved top in printed cotton jersey.,department_name,Jewellery,Young Girl Jersey Fancy,Metal and fabric earrings with tassels. Length 7.5 cm.. It has to be Jewellery and not Young Girl Jersey Fancy.
607596001,"Dress in an airy, patterned weave with a V-neck front and back and double-layered frill around the neckline. Wrapover front with a concealed press-stud and tie at the back of the neck, long sleeves with a tie at the cuffs and an elasticated seam at the waist. Partly lined in jersey.",,,department_name,Projects Dresses,Dresses DS,
607667002,"Blouse in a crêpe weave with a small stand-up collar and V-neck with sewn-on ties at the top. Dropped shoulders, long sleeves with elastication at the cuffs, and a gently rounded hem.",746326001.0,"Gently flared, calf-length skirt in a viscose weave with a sheen. Concealed zip and hook-and-eye fastener at one side. Unlined.",department_name,Blouse,Skirt,"Blouse in a crêpe weave with a small stand-up collar and V-neck with sewn-on ties at the top. Dropped shoulders, long sleeves with elastication at the cuffs, and a gently rounded hem.. It has to be Blouse and not Skirt."
607968002,"5-pocket shorts in washed denim with a regular waist, button fly and straight legs.",,,department_name,Shorts,Suit,
608013003,"Long bandeau dress in an airy weave with draping and a silicone trim at the top and support panels in the bodice. Detachable, adjustable shoulder straps and a concealed zip at the back. Lined.",,,department_name,Woven Occasion,Shorts,
608013004,"Long bandeau dress in an airy weave with draping and a silicone trim at the top and support panels in the bodice. Detachable, adjustable shoulder straps and a concealed zip at the back. Lined.",549917002.0,"Short-sleeved top in tulle with an embroidered pattern. Opening with a button at the back of the neck, yoke seam, tiers and a lace trim at the cuffs. Lined.",department_name,Woven Occasion,Young Girl Dresses,"Long bandeau dress in an airy weave with draping and a silicone trim at the top and support panels in the bodice. Detachable, adjustable shoulder straps and a concealed zip at the back. Lined.. It has to be Woven Occasion and not Young Girl Dresses."
608069011,Hipster briefs in cotton jersey with a lined gusset.,710087002.0,"Thong briefs in microfibre with lace sections, a low waist, lined gusset, narrow sides and string back.",department_name,Young Girl UW/NW,Casual Lingerie,Hipster briefs in cotton jersey with a lined gusset.. It has to be Young Girl UW/NW and not Casual Lingerie.
608069028,Hipster briefs in cotton jersey with a lined gusset.,577521003.0,"Quilted jacket in woven fabric with a shawl collar, wrapover front with concealed press-studs, and welt side pockets. Lined. Filling 80% down and 20% feathers.",department_name,Young Girl UW/NW,Woven Premium,Hipster briefs in cotton jersey with a lined gusset.. It has to be Young Girl UW/NW and not Woven Premium.
608069037,Hipster briefs in cotton jersey with a lined gusset.,583539003.0,"Mesh dress with a glitter print, wide shoulder straps and a decorative wrapover at the top. Press-studs and a detachable bow at the back, a seam at the top and a pleated skirt with a double lining for extra width. Lined.",department_name,Young Girl UW/NW,Kids Girl Dresses,Hipster briefs in cotton jersey with a lined gusset.. It has to be Young Girl UW/NW and not Kids Girl Dresses.
608221003,"Straight-cut, boat-neck blouse in an airy viscose weave with elastication and a small frill around the neckline, and wide 3/4-length raglan sleeves with a frill trim.",485542010.0,Boys’ briefs in soft cotton jersey with an elasticated waist and lined front.,department_name,Woven top,Kids Boy UW/NW,"Straight-cut, boat-neck blouse in an airy viscose weave with elastication and a small frill around the neckline, and wide 3/4-length raglan sleeves with a frill trim.. It has to be Woven top and not Kids Boy UW/NW."
608341002,"Bandeau jumpsuit in a crêpe weave with support panels in the bodice and a silicone trim at the top. Detachable, adjustable shoulder straps, a concealed zip in the side and a detachable tie belt at the waist. Straight, wide, ankle-length legs. Lined at the top.",,,department_name,Trouser,Suit,
608375001,"Dungaree shorts in superstretch twill with adjustable straps and metal fasteners. Pocket at the top, front and back pockets, buttons at the sides and raw-edge hems.",462435009.0,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.,department_name,Young Girl Trouser,Baby basics,"Dungaree shorts in superstretch twill with adjustable straps and metal fasteners. Pocket at the top, front and back pockets, buttons at the sides and raw-edge hems.. It has to be Young Girl Trouser and not Baby basics."
608483006,"V-neck blouse in a patterned weave with a collar, long sleeves with buttoned cuffs, and a rounded hem. Longer at the back.",546394002.0,"Jumper in soft, fine-knit cashmere with a round neck, decorative stitching at the back and short slits in the sides. Ribbed hem, and ribbing and a short slit at the cuffs.",department_name,Tops Woven,Take Care External,"V-neck blouse in a patterned weave with a collar, long sleeves with buttoned cuffs, and a rounded hem. Longer at the back.. It has to be Tops Woven and not Take Care External."
608570003,"Ankle-length suit trousers in a herringbone weave made from a linen blend with a regular waist, zip fly and concealed hook-and-eye fastener. Side pockets, welt back pockets and tapered legs with creases.",540521004.0,"Long-sleeved jumper in a soft knit containing some wool with dropped shoulders and slits in the sides with ties. Ribbing around the neckline, cuffs and hem.",department_name,Trouser,Knitwear,"Ankle-length suit trousers in a herringbone weave made from a linen blend with a regular waist, zip fly and concealed hook-and-eye fastener. Side pockets, welt back pockets and tapered legs with creases.. It has to be Trouser and not Knitwear."
608660004,"Long-sleeved, fitted top in ribbed jersey.",682325001.0,"Straight-cut jacket in soft faux fur with a large collar, patch front pockets and concealed press-studs down the front. Lined.",department_name,Jersey,Outdoor/Blazers,"Long-sleeved, fitted top in ribbed jersey.. It has to be Jersey and not Outdoor/Blazers."
608776010,Fine-knit socks with a scalloped edge.,,,department_name,Shopbasket Socks,OL Extended Sizes,
608776020,Fine-knit socks with a scalloped edge.,610776107.0,T-shirt in lightweight jersey with a rounded hem. Slightly longer at the back.,department_name,Shopbasket Socks,Jersey Basic,Fine-knit socks with a scalloped edge.. It has to be Shopbasket Socks and not Jersey Basic.
608850004,"5-pocket shorts in washed denim with a regular waist, button fly and straight legs with raw-edge hems.",715876002.0,"Slightly shorter top in soft pointelle made from a viscose blend with short, rib-trimmed sleeves and a ribbed hem.",department_name,Denim shorts,Tops Knitwear,"5-pocket shorts in washed denim with a regular waist, button fly and straight legs with raw-edge hems.. It has to be Denim shorts and not Tops Knitwear."
609025002,"Long-sleeved blouse in a plumeti cotton weave with a boat neck and buttons down the front. Gently tailored bodice and puff sleeves with wide, buttoned cuffs.",706271024.0,Rib-knit socks in a soft cotton blend with high shafts and elasticated tops.,department_name,Equatorial Assortment,Socks Wall,"Long-sleeved blouse in a plumeti cotton weave with a boat neck and buttons down the front. Gently tailored bodice and puff sleeves with wide, buttoned cuffs.. It has to be Equatorial Assortment and not Socks Wall."
609033004,Short skirt in soft twill with eyelets and lacing at the front and a concealed zip and button at the back. Unlined.,,,department_name,Equatorial Assortment,Blazer S&T,
609146001,Henley shirt in cotton jersey with a button placket and long sleeves with a tab and button.,700688006.0,"Brazilian briefs in cotton with a mid, V-shaped waist, lined gusset and half-string back.",department_name,Jersey Fancy,Expressive Lingerie,Henley shirt in cotton jersey with a button placket and long sleeves with a tab and button.. It has to be Jersey Fancy and not Expressive Lingerie.
609146008,Henley shirt in cotton jersey with a button placket and long sleeves with a tab and button.,841665001.0,Earrings in hammered metal with square pendants. Length 4.5 cm.,department_name,Jersey Fancy,Jewellery,Henley shirt in cotton jersey with a button placket and long sleeves with a tab and button.. It has to be Jersey Fancy and not Jewellery.
609285001,"Ribbed top with a boat neck, long dolman sleeves and ribbing at the cuffs and hem.",,,department_name,Knitwear,Kids Boy Trouser,
609332001,"Hole-patterned, triangle bikini top with removable inserts, a pompom trim around the neckline, and ties at the back and back of the neck.",712801004.0,T-shirt in soft cotton jersey with a print motif on the front.,department_name,Swimwear,Young Boy Jersey Fancy,"Hole-patterned, triangle bikini top with removable inserts, a pompom trim around the neckline, and ties at the back and back of the neck.. It has to be Swimwear and not Young Boy Jersey Fancy."
609379001,"V-neck playsuit in soft jersey with lace details, narrow shoulder straps that cross at the back, a seam at the waist and short, wide legs.",784210003.0,"Pyjamas in soft, printed organic cotton jersey. Top with a concealed press-stud on one shoulder (except in sizes 1½-4Y) and ribbing around the neckline and cuffs. Bottoms with an elasticated waist and ribbed hems.",department_name,Dresses DS,Baby Nightwear,"V-neck playsuit in soft jersey with lace details, narrow shoulder straps that cross at the back, a seam at the waist and short, wide legs.. It has to be Dresses DS and not Baby Nightwear."
609485013,"Sports top in heavy jersey with taped details. Mesh-lined drawstring hood, short sleeves with ventilation holes under the arms, a kangaroo pocket, and slits in the sides. Longer at the back.",552743031.0,"Long-sleeved jumper in soft, fine-knit cashmere with ribbing around the neckline, cuffs and hem.",department_name,Men Sport Tops,Knitwear,"Sports top in heavy jersey with taped details. Mesh-lined drawstring hood, short sleeves with ventilation holes under the arms, a kangaroo pocket, and slits in the sides. Longer at the back.. It has to be Men Sport Tops and not Knitwear."
609570001,"Ankle-length, slim-fit jeans in washed, superstretch, flexible denim for maximum mobility with appliqués at the top and hard-worn details. Adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow, cut-off, raw-edge hems.",738815004.0,Yoga socks with elastic straps that cross over the feet and anti-slip protectors on the soles.,department_name,Young Girl Denim,Ladies Sport Acc,"Ankle-length, slim-fit jeans in washed, superstretch, flexible denim for maximum mobility with appliqués at the top and hard-worn details. Adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow, cut-off, raw-edge hems.. It has to be Young Girl Denim and not Ladies Sport Acc."
610180002,Set with a sleeveless top and shorts in a patterned weave. Flared top with gathers at the top and elastication around the neckline and armholes. Shorts with elastication at the waist and hems.,,,department_name,Baby Girl Woven,Baby Boy Jersey Fancy,
610234003,"Sleeveless dress in a crinkled, patterned weave with a V-neck front and back. Sewn-in wrapover and concealed press-stud at the front, double flounce around the neckline, ties across the back of the neck and an elasticated seam at the waist. Unlined.",545396004.0,"Joggers in sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside. The cotton content of the joggers is organic.",department_name,Projects Dresses,Kids Boy Jersey Basic,"Sleeveless dress in a crinkled, patterned weave with a V-neck front and back. Sewn-in wrapover and concealed press-stud at the front, double flounce around the neckline, ties across the back of the neck and an elasticated seam at the waist. Unlined.. It has to be Projects Dresses and not Kids Boy Jersey Basic."
610305001,"Wide top in sturdy cotton sweatshirt fabric with a drawstring hood that has a raw-edge seam at the top. Low dropped shoulders and long, straight sleeves with sewn-in turn-ups at the cuffs. Slightly longer at the back.",623480002.0,"5-pocket ankle-length jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button and super-skinny legs with uneven, raw-edge hems.",department_name,Jersey,Trousers,"Wide top in sturdy cotton sweatshirt fabric with a drawstring hood that has a raw-edge seam at the top. Low dropped shoulders and long, straight sleeves with sewn-in turn-ups at the cuffs. Slightly longer at the back.. It has to be Jersey and not Trousers."
610361001,"Sports bra in fast-drying functional fabric with jacquard-patterned details and lightly padded cups with removable inserts. Wide, adjustable shoulder straps that cross at the back and a wide hem. Light support.",621523006.0,"Polo shirt in cotton piqué with a ribbed collar, two buttons at the top, short sleeves with ribbed trims, and short slits in the sides.",department_name,Ladies Sport Bras,Jersey Fancy,"Sports bra in fast-drying functional fabric with jacquard-patterned details and lightly padded cups with removable inserts. Wide, adjustable shoulder straps that cross at the back and a wide hem. Light support.. It has to be Ladies Sport Bras and not Jersey Fancy."
610490001,"Knee-length shorts in lightweight, printed sweatshirt fabric with an elasticated drawstring waist, slightly lower crotch, side pockets and a back pocket.",,,department_name,Jersey Fancy,Jacket Smart,
610543008,,,,department_name,Jersey,Jacket Street,
610543011,,,,department_name,Jersey,Everyday Waredrobe Denim,
610592001,Small wallet in glittery imitation leather with a zip and appliqués at the top and print motif on the front. Three inner compartments. Lined. Size 2x7.5x10 cm.,610621004.0,"Imitation leather trainers with a hook and loop fastening at the front, padded top edge and loop at the back. Mesh linings and insoles and thermoplastic rubber (TPR) soles.",department_name,Kids Girl Big Acc,Kids Boy Shoes,Small wallet in glittery imitation leather with a zip and appliqués at the top and print motif on the front. Three inner compartments. Lined. Size 2x7.5x10 cm.. It has to be Kids Girl Big Acc and not Kids Boy Shoes.
610621004,"Imitation leather trainers with a hook and loop fastening at the front, padded top edge and loop at the back. Mesh linings and insoles and thermoplastic rubber (TPR) soles.",757413001.0,Baby Exclusive. Leggings in soft organic cotton jersey with an elasticated waist and fake fly with decorative buttons.,department_name,Kids Boy Shoes,Baby Exclusive,"Imitation leather trainers with a hook and loop fastening at the front, padded top edge and loop at the back. Mesh linings and insoles and thermoplastic rubber (TPR) soles.. It has to be Kids Boy Shoes and not Baby Exclusive."
610621010,"Imitation leather trainers with a hook and loop fastening at the front, padded top edge and loop at the back. Mesh linings and insoles and thermoplastic rubber (TPR) soles.",815285002.0,"Knee-length dress in airy chiffon with a unique nursing function. Round neckline, short, flounced sleeves that are elasticated at the shoulders and an elasticated seam under the bust. The design includes a double layer at the front to help retain warmth while allowing easier nursing access. Jersey lining. The dress is made partly from recycled polyester.",department_name,Kids Boy Shoes,Woven Tops,"Imitation leather trainers with a hook and loop fastening at the front, padded top edge and loop at the back. Mesh linings and insoles and thermoplastic rubber (TPR) soles.. It has to be Kids Boy Shoes and not Woven Tops."
610693002,"Sandals with covered platform soles and heels, straps across the foot and an adjustable ankle strap with a metal buckle. Imitation leather insoles and rubber soles. Platform 2 cm, heel 11 cm.",772751001.0,"Sleeveless top in a viscose crêpe weave with a unique nursing feature. V-neck with a pleat at the bottom, a frill trim around the armholes, and a gathered yoke at the back. The design includes a double layer to help retain warmth while allowing easier nursing access.",department_name,Heels,Woven Tops,"Sandals with covered platform soles and heels, straps across the foot and an adjustable ankle strap with a metal buckle. Imitation leather insoles and rubber soles. Platform 2 cm, heel 11 cm.. It has to be Heels and not Woven Tops."
610700001,"Short-sleeved top in soft jersey with print stripes on the sleeves, a yoke, dropped shoulders and rounded hem. Slightly longer at the back.",667317002.0,Metal hoop earrings. Diameter 4.5 cm.,department_name,Jersey,Small Accessories,"Short-sleeved top in soft jersey with print stripes on the sleeves, a yoke, dropped shoulders and rounded hem. Slightly longer at the back.. It has to be Jersey and not Small Accessories."
610776026,T-shirt in lightweight jersey with a rounded hem. Slightly longer at the back.,669500003.0,"Bra in microfibre and lace with underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Adjustable shoulder straps, a lace racer back and metal front fastening.",department_name,Jersey Basic,Expressive Lingerie,T-shirt in lightweight jersey with a rounded hem. Slightly longer at the back.. It has to be Jersey Basic and not Expressive Lingerie.
610776107,T-shirt in lightweight jersey with a rounded hem. Slightly longer at the back.,608776020.0,Fine-knit socks with a scalloped edge.,department_name,Jersey Basic,Shopbasket Socks,T-shirt in lightweight jersey with a rounded hem. Slightly longer at the back.. It has to be Jersey Basic and not Shopbasket Socks.
610822009,"T-shirt in soft, printed cotton jersey with a ribbed neckline.",669999003.0,Cotton jersey briefs.,department_name,Young Boy Jersey Fancy,Young Girl UW/NW,"T-shirt in soft, printed cotton jersey with a ribbed neckline.. It has to be Young Boy Jersey Fancy and not Young Girl UW/NW."
611020026,"5-pocket jeans in washed denim with a regular waist, button fly and slim, straight legs.",621514003.0,"Wide trousers in a soft viscose weave with an elasticated waist, pockets in the side seams and a seam below the knee with flared legs.",department_name,Denim trousers,Equatorial Assortment,"5-pocket jeans in washed denim with a regular waist, button fly and slim, straight legs.. It has to be Denim trousers and not Equatorial Assortment."
611144019,"Jumper in a soft, fine cotton knit with a sequined motif on the front. Long sleeves, short slits in the sides and ribbing around the neckline, cuffs and hem. Slightly longer at the back.",,,department_name,Kids Girl Knitwear,Heels,
611260001,"Nylon outdoor jacket with a detachable, jersey-lined hood and a zip and wind flap with press-studs down the front. Long raglan sleeves with contrasting colour grosgrain stripes down the sides, front welt pockets with a press-stud, elasticated cuffs and a drawstring hem. Jersey lining.",,,department_name,Young Girl Outdoor,Jewellery,
611286005,"Paper straw shopper with two handles, one with pompoms attached. The bag closes with imitation leather ties and has two inner compartments and a fabric lining. Size 17x31x35 cm.",668579001.0,"Short, off-the-shoulder, straight-cut dress in sturdy jersey with elastication and a wide flounce at the top and pockets in the side seams. Unlined.",department_name,Bags,Dress,"Paper straw shopper with two handles, one with pompoms attached. The bag closes with imitation leather ties and has two inner compartments and a fabric lining. Size 17x31x35 cm.. It has to be Bags and not Dress."
611398002,Trainers with a knot detail at the top and concealed elastic gores in the sides. Cotton linings and insoles and rubber soles.,,,department_name,Baby Shoes,Casual Lingerie,
611503015,T-shirt in soft organic cotton jersey.,,,department_name,Kids Boy Jersey Basic,Local relevance,
611615003,"Short-sleeved shirt in an Oxford cotton weave with a button-down collar and classic front. Yoke with a pleat at the back, an open chest pocket and a rounded hem. Regular fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette.",596983001.0,"Imitation suede biker jacket with notch lapels with decorative press-studs, a diagonal zip down the front and zipped side pockets. Long sleeves with a zip at the cuffs and a sewn-on, adjustable belt with a metal fastener at the hem. Lined.",department_name,Shirt,Outwear,"Short-sleeved shirt in an Oxford cotton weave with a button-down collar and classic front. Yoke with a pleat at the back, an open chest pocket and a rounded hem. Regular fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette.. It has to be Shirt and not Outwear."
611635003,"Shoulder bag in imitation leather with a zip at the top, detachable shoulder strap with a carabiner hook at each end and an outer compartment with a press-stud. Lined.",564787003.0,"Fully lined sports bra in fast-drying functional fabric with a racer back and moulded, padded cups that lift and shape while providing good support. Elasticated hem and a fastening at the back with two pairs of hooks and eyes. Medium support.",department_name,Bags,Ladies Sport Bras,"Shoulder bag in imitation leather with a zip at the top, detachable shoulder strap with a carabiner hook at each end and an outer compartment with a press-stud. Lined.. It has to be Bags and not Ladies Sport Bras."
611678001,"5-pocket, high-waisted, ankle-length jeans in washed denim with hard-worn details, a zip fly and gently tapered legs with decorative beads down the sides.",,,department_name,Trousers,Baby Nightwear,
611838004,"Shirt in an Oxford cotton weave with a button-down collar. Buttons down the front, an open chest pocket and long sleeves with buttoned cuffs.",557046005.0,Hat and scarf set in a soft rib knit. Hat with a turned-up hem. Size of scarf 25x175 cm.,department_name,Young Boy Shirt,Accessories,"Shirt in an Oxford cotton weave with a button-down collar. Buttons down the front, an open chest pocket and long sleeves with buttoned cuffs.. It has to be Young Boy Shirt and not Accessories."
612122001,T-shirt in soft jersey made from a modal and cotton blend with an embroidered motif around the neckline and short frill trims around the sleeves.,754413005.0,"Short, fitted top in ribbed jersey with an angular neckline and short sleeves.",department_name,Projects Jersey & Knitwear,Basic 1,T-shirt in soft jersey made from a modal and cotton blend with an embroidered motif around the neckline and short frill trims around the sleeves.. It has to be Projects Jersey & Knitwear and not Basic 1.
612138001,"Scarf in soft, patterned satin. Size 80x80 cm.",579838002.0,"Trainers in imitation suede with a small platform, lacing at the front and a loop at the back. Fabric linings and insoles and rubber soles. Platform front 2.5 cm, back 3.5 cm.",department_name,Scarves,Sneakers,"Scarf in soft, patterned satin. Size 80x80 cm.. It has to be Scarves and not Sneakers."
612455006,5-pocket jeans in washed stretch denim with a zip fly and button and slim legs.,604988001.0,Pyjamas with a T-shirt and shorts. Jersey T-shirt with short slits in the sides. Cotton shorts with an elasticated waist and side pockets.,department_name,Denim trousers,Loungewear,5-pocket jeans in washed stretch denim with a zip fly and button and slim legs.. It has to be Denim trousers and not Loungewear.
612536004,"Lace Brazilian briefs with a low waist, lined gusset, wide sides and half-string back.",,,department_name,Expressive Lingerie,Jersey Occasion,
612730004,"Dungaree shorts in woven fabric with a double-layered front and open back. Shoulder straps with adjustable fasteners, a tie belt at the waist and concealed zip at the back. Lined.",723104003.0,"Calf-length jeans in washed stretch cotton denim with a high waist, small front pockets, back pockets and straight, wide legs with raw-edge, frayed hems.",department_name,Shorts,Trouser,"Dungaree shorts in woven fabric with a double-layered front and open back. Shoulder straps with adjustable fasteners, a tie belt at the waist and concealed zip at the back. Lined.. It has to be Shorts and not Trouser."
612800009,"V-neck top in an airy weave with pleats on the shoulders, short, raglan flutter sleeves, and a rounded hem. Loose fit.",648703001.0,"Long-sleeved top in sweatshirt fabric with a print motif. Ribbing around the neckline, cuffs and hem. Brushed inside.",department_name,Blouse,Jersey Fancy,"V-neck top in an airy weave with pleats on the shoulders, short, raglan flutter sleeves, and a rounded hem. Loose fit.. It has to be Blouse and not Jersey Fancy."
612910001,"Trousers in woven fabric with a sheen. Elasticated drawstring waist, side pockets, fake back pockets and wide legs with sewn-in creases and a drawstring at the hems.",475827010.0,Moccasins in suede with a decorative seam at the front. Leather linings and insoles and rubber half-soles.,department_name,AK Other,Shoes / Boots inactive from s5,"Trousers in woven fabric with a sheen. Elasticated drawstring waist, side pockets, fake back pockets and wide legs with sewn-in creases and a drawstring at the hems.. It has to be AK Other and not Shoes / Boots inactive from s5."
612935007,"Short V-neck dress in jersey with a heavy drape. 3/4-length sleeves, concealed pockets in the side seams and a seam at the waist with a detachable tie belt.",705821001.0,"Lace bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow, adjustable shoulder straps, and lace details and a fastening at the back.",department_name,Jersey,Expressive Lingerie,"Short V-neck dress in jersey with a heavy drape. 3/4-length sleeves, concealed pockets in the side seams and a seam at the waist with a detachable tie belt.. It has to be Jersey and not Expressive Lingerie."
612935009,"Short V-neck dress in jersey with a heavy drape. 3/4-length sleeves, concealed pockets in the side seams and a seam at the waist with a detachable tie belt.",638927002.0,"5-pocket jeans in washed stretch denim with hard-worn details, a regular waist, button fly and skinny legs.",department_name,Jersey,Denim trousers,"Short V-neck dress in jersey with a heavy drape. 3/4-length sleeves, concealed pockets in the side seams and a seam at the waist with a detachable tie belt.. It has to be Jersey and not Denim trousers."
613190002,"Long V-neck tunic in a soft viscose weave with a small stand-up collar, buttons down the front and at the sides, long sleeves with buttoned cuffs and a rounded hem.",512391001.0,"Knitted biker jacket in soft bouclé made from a wool blend. Notch lapels with press-studs, shoulder tabs with press-studs and a diagonal zip down the front. Chest pocket, zipped side pockets, a small flap front pocket with a press-stud, and one inner pocket. Zips at the cuffs and loops at the hem. Lined.",department_name,Woven top,Outdoor inactive from s1,"Long V-neck tunic in a soft viscose weave with a small stand-up collar, buttons down the front and at the sides, long sleeves with buttoned cuffs and a rounded hem.. It has to be Woven top and not Outdoor inactive from s1."
613340004,Legs in soft sweatshirt fabric with an elasticated drawstring waist and ribbed hems.,,,department_name,Basic 1,Tights basic,
613457006,"Off-the-shoulder top in cotton jersey with narrow shoulder straps, short sleeves and elastication and a flounce at the top and sleeve-ends.",699755046.0,"Top in printed sweatshirt fabric with a jersey-lined, drawstring hood with a wrapover front. Long sleeves, a kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.",department_name,Jersey fancy,Jersey Fancy,"Off-the-shoulder top in cotton jersey with narrow shoulder straps, short sleeves and elastication and a flounce at the top and sleeve-ends.. It has to be Jersey fancy and not Jersey Fancy."
613463003,"V-neck jumper in a soft, fine knit with a brushed finish. Dropped shoulders and long, wide sleeves.",834378004.0,"Calf-length satin dress with a deep V-neck and sewn-in wrapover at the top. Short puff sleeves with gathered elastication for a gently draped effect, an elasticated seam at the waist and a small frill trim around the neckline, waist and skirt. Lined at the top.",department_name,Jersey fancy,Dress,"V-neck jumper in a soft, fine knit with a brushed finish. Dropped shoulders and long, wide sleeves.. It has to be Jersey fancy and not Dress."
613497006,Pyjamas in soft satin. V-neck top with narrow adjustable shoulder straps and lace at the top. Short shorts with an elasticated waist and frilled hems.,584752002.0,"Fitted top in fast-drying, functional fabric with short raglan sleeves and jacquard-patterned details. Seamless.",department_name,Nightwear,Jersey,Pyjamas in soft satin. V-neck top with narrow adjustable shoulder straps and lace at the top. Short shorts with an elasticated waist and frilled hems.. It has to be Nightwear and not Jersey.
613539001,CONSCIOUS EXCLUSIVE. Long dress in EcoNyl® with organic cotton embroidery in a narrow cut at the top with a double flounce around the neckline and covered buttons down the back. The dress is fitted and flares to the hem with inset panels for added width. Recycled polyester lining.,599713002.0,"Ankle-length chinos in soft twill made from a Tencel™ lyocell blend with a regular waist, concealed hook-and-eye fastening and zip fly. Side pockets, a welt back pocket with a button and a detachable braided imitation leather belt.",department_name,Conscious Exclusive,Trouser,CONSCIOUS EXCLUSIVE. Long dress in EcoNyl® with organic cotton embroidery in a narrow cut at the top with a double flounce around the neckline and covered buttons down the back. The dress is fitted and flares to the hem with inset panels for added width. Recycled polyester lining.. It has to be Conscious Exclusive and not Trouser.
613546001,"CONSCIOUS EXCLUSIVE. Oversized shirt in an organic cotton weave with a grandad collar with a covered button, concealed buttons down the front and a yoke at the back with a pleat for added width. Raglan sleeves with wide cuffs with a slit, buttons down the sleeves and at the sides, and a rounded hem.",714620005.0,"Short dress in a patterned viscose weave with a collar and buttons down the front. Long sleeves with narrow elastication at the cuffs, a seam at the waist and a gently flared skirt. Unlined.",department_name,Conscious Exclusive,Dresses,"CONSCIOUS EXCLUSIVE. Oversized shirt in an organic cotton weave with a grandad collar with a covered button, concealed buttons down the front and a yoke at the back with a pleat for added width. Raglan sleeves with wide cuffs with a slit, buttons down the sleeves and at the sides, and a rounded hem.. It has to be Conscious Exclusive and not Dresses."
613919002,Shorts in soft slub cotton jersey with an elasticated waist and sewn-in turn-ups at the hems.,679687030.0,Fine-knit trainer socks in a soft cotton blend with elasticated tops.,department_name,Baby Boy Jersey Fancy,Kids Girl S&T,Shorts in soft slub cotton jersey with an elasticated waist and sewn-in turn-ups at the hems.. It has to be Baby Boy Jersey Fancy and not Kids Girl S&T.
613919003,Shorts in soft slub cotton jersey with an elasticated waist and sewn-in turn-ups at the hems.,,,department_name,Baby Boy Jersey Fancy,Baby Shoes,
613938001,"Sleeveless dress in a patterned weave with decorative stripes, buttons at the back, a seam at the waist and gathered skirt. Lined.",616221003.0,"Wide, high-waisted trousers in an airy rib knit with a visible zip at the top and straight, wide legs with a seam at the hem.",department_name,Baby Girl Woven,Jersey,"Sleeveless dress in a patterned weave with decorative stripes, buttons at the back, a seam at the waist and gathered skirt. Lined.. It has to be Baby Girl Woven and not Jersey."
614094005,Fine-knit socks in a soft cotton blend.,,,department_name,Kids Girl S&T,Woven top,
614117007,Puff pants in soft organic cotton jersey.,595311001.0,Fully lined bikini top with removable inserts and a concealed plastic ring at the front. Narrow adjustable shoulder straps and a metal fastening at the back.,department_name,Baby basics,Swimwear,Puff pants in soft organic cotton jersey.. It has to be Baby basics and not Swimwear.
614304001,"Thin outdoor jacket in woven fabric with a detachable hood, stand-up collar and zip down the front. Side pockets, elasticated cuffs and an elastic drawstring at the hem.",682236013.0,"Small shoulder bag in imitation leather with a detachable, adjustable shoulder strap and an imitation suede flap with a fastener. One inner compartment and one outer compartment with a zip. Lined. Height 18 cm. Width 23 cm.",department_name,Young Girl Outdoor,Bags,"Thin outdoor jacket in woven fabric with a detachable hood, stand-up collar and zip down the front. Side pockets, elasticated cuffs and an elastic drawstring at the hem.. It has to be Young Girl Outdoor and not Bags."
614422001,,,,department_name,Woven top,Divided Shoes,
614496003,"Lace push-up bra with underwired, moulded, padded cups for a larger bust and fuller cleavage. Narrow, adjustable shoulder straps and a fastening at the back with two pairs of hooks and eyes.",614542003.0,"Sleeveless dress in soft, slub cotton jersey with narrow shoulder straps that cross at the back. Second layer at the top with a wide lace trim, an elasticated seam at the waist and a scalloped lace trim at the hem.",department_name,Expressive Lingerie,Kids Girl Jersey Fancy,"Lace push-up bra with underwired, moulded, padded cups for a larger bust and fuller cleavage. Narrow, adjustable shoulder straps and a fastening at the back with two pairs of hooks and eyes.. It has to be Expressive Lingerie and not Kids Girl Jersey Fancy."
